buy_usdc,snusd_received,avg_price,borrowable_usdc,net_profit_usdc
12100.0000000000,5848.3237640764,2.0689689026,5691.9875666021,-6538.7899653979
12150.0000000000,5855.3115730384,2.0750390220,5698.7885788809,-6581.9889531191
12200.0000000000,5862.2586183192,2.0811091414,5705.5499171648,-6625.2276148352
12250.0000000000,5869.1652555761,2.0871792609,5712.2719276039,-6668.5056043961
12300.0000000000,5876.0318363416,2.0932493803,5718.9549523335,-6711.8225796665
12350.0000000000,5882.8587080820,2.0993194997,5725.5993295316,-6755.1782024684
12400.0000000000,5889.6462142565,2.1053896192,5732.2053934761,-6798.5721385239
12450.0000000000,5896.3946943750,2.1114597386,5738.7734746011,-6842.0040573989
12500.0000000000,5903.1044840540,2.1175298580,5745.3038995516,-6885.4736324484
12550.0000000000,5909.7759150731,2.1235999775,5751.7969912381,-6928.9805407619
12600.0000000000,5916.4093154290,2.1296700969,5758.2530688893,-6972.5244631107
12650.0000000000,5923.0050093897,2.1357402163,5764.6724481049,-7016.1050838951
12700.0000000000,5929.5633175469,2.1418103357,5771.0554409067,-7059.7220910933
12750.0000000000,5936.0845568685,2.1478804552,5777.4023557894,-7103.3751762106
12800.0000000000,5942.5690407492,2.1539505746,5783.7134977702,-7147.0640342298
12850.0000000000,5949.0170790609,2.1600206940,5789.9891684375,-7190.7883635625
12900.0000000000,5955.4289782020,2.1660908135,5796.2296659992,-7234.5478660008
12950.0000000000,5961.8050411462,2.1721609329,5802.4352853298,-7278.3422466702
13000.0000000000,5968.1455674896,2.1782310523,5808.6063180169,-7322.1712139831
13050.0000000000,5974.4508534983,2.1843011718,5814.7430524067,-7366.0344795933
13100.0000000000,5980.7211921543,2.1903712912,5820.8457736492,-7409.9317583508
13150.0000000000,5986.9568732006,2.1964414106,5826.9147637422,-7453.8627682578
13200.0000000000,5993.1581831863,2.2025115301,5832.9503015747,-7497.8272304253
13250.0000000000,5999.3254055100,2.2085816495,5838.9526629698,-7541.8248690302
13300.0000000000,6005.4588204637,2.2146517689,5844.9221207264,-7585.8554112736
13350.0000000000,6011.5587052742,2.2207218884,5850.8589446610,-7629.9185873390
13400.0000000000,6017.6253341460,2.2267920078,5856.7634016477,-7674.0141303523
13450.0000000000,6023.6589783016,2.2328621272,5862.6357556589,-7718.1417763411
13500.0000000000,6029.6599060222,2.2389322467,5868.4762678042,-7762.3012641958
13550.0000000000,6035.6283826875,2.2450023661,5874.2851963692,-7806.4923356308
13600.0000000000,6041.5646708148,2.2510724855,5880.0627968536,-7850.7147351464
13650.0000000000,6047.4690300973,2.2571426050,5885.8093220086,-7894.9682099914
13700.0000000000,6053.3417174423,2.2632127244,5891.5250218738,-7939.2525101262
13750.0000000000,6059.1829870081,2.2692828438,5897.2101438136,-7983.5673881864
13800.0000000000,6064.9930902411,2.2753529633,5902.8649325525,-8027.9125994475
13850.0000000000,6070.7722759115,2.2814230827,5908.4896302108,-8072.2879017892
13900.0000000000,6076.5207901488,2.2874932021,5914.0844763386,-8116.6930556614
